timestep,r_collision,z_collision,vr_collision,vz_collision
8139,5.538325108734107e-12,4.792773368050966e-06,75.26219964330124,-4173.900344185113
8140,5.54605927662042e-12,4.792772937935772e-06,75.25503409125527,-4185.108732850069
8141,5.553755963932189e-12,4.792772508711212e-06,75.2477815385171,-4196.376261629105
8142,5.5614152902820076e-12,4.7927720803754495e-06,75.24044110668825,-4207.703164584691
8143,5.569037375372461e-12,4.792771652926652e-06,75.23301191004376,-4219.089676427718
8144,5.576622338991989e-12,4.792771226362988e-06,75.2254930554786,-4230.53603252102
8145,5.584170301010664e-12,4.792770800682632e-06,75.21788364245324,-4242.042468883472
8146,5.591691318268054e-12,4.79277037532018e-06,75.21017257390528,-4253.624526165394
8147,5.599211551393908e-12,4.792769948787838e-06,75.20233125853753,-4265.323424587824
8148,5.606730987092354e-12,4.792769521073746e-06,75.19435698445984,-4277.140917254684
8149,5.614249611789391e-12,4.792769092165867e-06,75.18624697036893,-4289.07879310514
8150,5.621767411625732e-12,4.792768662051979e-06,75.17799836340694,-4301.138877847857
8151,5.629284372449426e-12,4.792768230719676e-06,75.16960823694171,-4313.323034925542
8152,5.636800479808253e-12,4.792767798156359e-06,75.16107358826653,-4325.633166509459
8153,5.644315718941874e-12,4.7927673643492375e-06,75.15239133621446,-4338.071214526957
8154,5.651830074773743e-12,4.792766929285321e-06,75.14355831868482,-4350.639161721762
8155,5.659343531902751e-12,4.792766492951418e-06,75.13457129007853,-4363.339032748003
8156,5.6668560745946146e-12,4.7927660553341285e-06,75.12542691863621,-4376.172895301237
8157,5.674367686772982e-12,4.792765616419843e-06,75.11612178367727,-4389.142861285851
8158,5.681878352010256e-12,4.792765176194734e-06,75.10665237273346,-4402.251088022019
8159,5.689388053518114e-12,4.792764734644756e-06,75.09701507857449,-4415.499779491899
8160,5.6968967741377254e-12,4.792764291755637e-06,75.08720619611971,-4428.8911876276115
8161,5.7044044963296485e-12,4.792763847512875e-06,75.07722191923004,-4442.427613643709
8162,5.711911202163386e-12,4.792763401901734e-06,75.067058337377,-4456.111409413414
8163,5.719416873306605e-12,4.792762954907236e-06,75.05671143218143,-4469.944978892521
8164,5.7269214910139865e-12,4.792762506514158e-06,75.04617707381647,-4483.930779592303
8165,5.734425036115713e-12,4.792762056707026e-06,75.03545101726942,-4498.071324102771
8166,5.7419274890055585e-12,4.792761605470107e-06,75.02452889845573,-4512.36918166858
8167,5.7494288296285766e-12,4.792761152787409e-06,75.0134062301768,-4526.826979821146
8168,5.756929037468368e-12,4.792760698642669e-06,75.00207839791719,-4541.447406066884
8169,5.7644280915339155e-12,4.792760243019348e-06,74.99054065547126,-4556.233209635919
8170,5.771925970345955e-12,4.7927597859006275e-06,74.97878812039266,-4571.187203292834
8171,5.779422651922881e-12,4.792759327269401e-06,74.9668157692582,-4586.312265212001
8172,5.7869181137661545e-12,4.792758867108267e-06,74.95461843273715,-4601.611340920448
8173,5.7944123328452e-12,4.7927584053995224e-06,74.94219079045573,-4617.087445312043
8174,5.801905285581765e-12,4.792757942125156e-06,74.92952736564887,-4632.7436647343675
8175,5.809396947833724e-12,4.79275747726684e-06,74.9166225195879,-4648.583159152304
8176,5.8168872948783015e-12,4.792757010805924e-06,74.90347044577283,-4664.609164392241
8177,5.82437630139469e-12,4.792756542723424e-06,74.89006516387947,-4680.824994468673
8178,5.831863941446034e-12,4.79275607300002e-06,74.87640051344671,-4697.234043999417
8179,5.839350188460763e-12,4.7927556016160406e-06,74.86247014729398,-4713.83979071055
8180,5.8468350152132284e-12,4.792755128551461e-06,74.8482675246527,-4730.645798037737
8181,5.854318393803628e-12,4.792754653785889e-06,74.83378590400021,-4747.655717825701
8182,5.861800295637186e-12,4.79275417729856e-06,74.8190183355784,-4764.873293132653
8183,5.869280691402545e-12,4.792753699068323e-06,74.80395765358334,-4782.302361142542
8184,5.876759551049345e-12,4.7927532190736376e-06,74.78859646800704,-4799.9468561917565
8185,5.884236843764957e-12,4.792752737292556e-06,74.77292715611635,-4817.810812913189
8186,5.891712537950311e-12,4.792752253702719e-06,74.75694185354565,-4835.898369506768
8187,5.89918660119481e-12,4.7927517682813425e-06,74.74063244498767,-4854.2137711387795
8188,5.906659000250256e-12,4.792751281005205e-06,74.72399055445906,-4872.761373477809
8189,5.914129701003768e-12,4.7927507918506405e-06,74.70700753511859,-4891.545646373641
8190,5.92159866844963e-12,4.792750300793522e-06,74.68967445861405,-4910.57117768576
8191,5.929065866660023e-12,4.792749807809254e-06,74.67198210393201,-4929.842677269304
8192,5.9365312587545955e-12,4.7927493128727565e-06,74.65392094572584,-4949.36498112423
8193,5.943994806868804e-12,4.792748815958451e-06,74.63548114209122,-4969.143055717551
8194,5.95145647212098e-12,4.792748317040251e-06,74.61665252175783,-4989.182002487818
8195,5.958916214578047e-12,4.7927478160915445e-06,74.59742457066831,-5009.487062538499
8196,5.966373993219838e-12,4.792747313085183e-06,74.57778641790942,-5030.06362153027
8197,5.973829765901933e-12,4.792746807993461e-06,74.5577268209565,-5050.917214784224
8198,5.981283489316953e-12,4.792746300788108e-06,74.53723415019526,-5072.053532604612
8199,5.988735118954221e-12,4.792745791440265e-06,74.51629637267887,-5093.478425832954
